timestamp	branch_code	txn_id	line_seq	sku_id	quantity	unit_price_thb	discount_amt	payment_method	schema_version
2024-08-19T19:33:58+07:00	BKK-SIAM	TXN-202408-19002615	1	SKU-MASS-058	1	24900.00	0.00	mobile_wallet	1
2024-08-19T10:58:31+07:00	BKK-SIAM	TXN-202408-19002719	1	SKU-MASS-104	1	8500.00	0.00	credit_card	1
2024-08-19T10:58:31+07:00	BKK-SIAM	TXN-202408-19002719	2	SKU-MASS-023	1	12900.00	0.00	credit_card	1
2024-08-19T21:53:50+07:00	BKK-SIAM	TXN-202408-19005071	1	SKU-MASS-056	1	8500.00	0.00	credit_card	1
2024-08-19T17:02:37+07:00	BKK-SIAM	TXN-202408-19005093	1	SKU-MASS-038	1	4900.00	0.00	cash	1
2024-08-19T15:37:59+07:00	BKK-SIAM	TXN-202408-19008218	1	SKU-MASS-095	1	12900.00	0.00	mobile_wallet	1
2024-08-19T15:37:59+07:00	BKK-SIAM	TXN-202408-19008218	2	SKU-MASS-055	1	12900.00	0.00	mobile_wallet	1
2024-08-19T15:37:59+07:00	BKK-SIAM	TXN-202408-19008218	3	SKU-MASS-008	1	8500.00	0.00	mobile_wallet	1
2024-08-19T15:37:59+07:00	BKK-SIAM	TXN-202408-19008218	4	SKU-MASS-008	1	8500.00	0.00	mobile_wallet	1
2024-08-19T15:57:03+07:00	BKK-SIAM	TXN-202408-19010455	1	SKU-MASS-094	1	4900.00	0.00	credit_card	1
2024-08-19T18:02:10+07:00	BKK-SIAM	TXN-202408-19010874	1	SKU-MASS-052	1	6900.00	0.00	cash	1
2024-08-19T18:02:10+07:00	BKK-SIAM	TXN-202408-19010874	2	SKU-MASS-027	1	55900.00	0.00	cash	1
2024-08-19T18:02:10+07:00	BKK-SIAM	TXN-202408-19010874	3	NT-LT-001	1	42900.00	0.00	cash	1
2024-08-19T09:32:03+07:00	BKK-SIAM	TXN-202408-19016493	1	SKU-MASS-105	1	29900.00	0.00	cash	1
2024-08-19T17:26:03+07:00	BKK-SIAM	TXN-202408-19017047	1	SKU-MASS-076	1	6900.00	0.00	cash	1
2024-08-19T11:32:15+07:00	BKK-SIAM	TXN-202408-19017455	1	SKU-MASS-095	1	12900.00	0.00	debit_card	1
2024-08-19T20:52:39+07:00	BKK-SIAM	TXN-202408-19017837	1	SKU-MASS-085	1	18900.00	0.00	credit_card	1
2024-08-19T14:49:56+07:00	BKK-SIAM	TXN-202408-19020491	1	SKU-MASS-053	1	18900.00	0.00	credit_card	1
2024-08-19T11:54:46+07:00	BKK-SIAM	TXN-202408-19021995	1	AW-MN-001	1	16900.00	0.00	credit_card	1
2024-08-19T09:12:00+07:00	BKK-SIAM	TXN-202408-19022853	1	SKU-MASS-096	1	8500.00	0.00	credit_card	1
2024-08-19T09:12:00+07:00	BKK-SIAM	TXN-202408-19022853	2	SKU-MASS-079	1	12900.00	0.00	credit_card	1
2024-08-19T09:12:00+07:00	BKK-SIAM	TXN-202408-19022853	3	SKU-MASS-092	1	6900.00	0.00	credit_card	1
2024-08-19T09:12:00+07:00	BKK-SIAM	TXN-202408-19022853	4	SKU-MASS-022	1	4900.00	0.00	credit_card	1
2024-08-19T09:12:00+07:00	BKK-SIAM	TXN-202408-19022853	5	SKU-MASS-067	1	55900.00	0.00	credit_card	1
2024-08-19T09:12:00+07:00	BKK-SIAM	TXN-202408-19022853	6	SKU-MASS-032	1	8500.00	0.00	credit_card	1
2024-08-19T16:11:54+07:00	BKK-SIAM	TXN-202408-19026721	1	SKU-MASS-031	1	12900.00	0.00	mobile_wallet	1
2024-08-19T16:11:54+07:00	BKK-SIAM	TXN-202408-19026721	2	SKU-MASS-064	1	8500.00	0.00	mobile_wallet	1
2024-08-19T16:11:54+07:00	BKK-SIAM	TXN-202408-19026721	3	SKU-MASS-083	1	55900.00	0.00	mobile_wallet	1
2024-08-19T16:11:54+07:00	BKK-SIAM	TXN-202408-19026721	4	SKU-MASS-110	1	4900.00	0.00	mobile_wallet	1
2024-08-19T16:11:54+07:00	BKK-SIAM	TXN-202408-19026721	5	SKU-MASS-089	1	29900.00	0.00	mobile_wallet	1
2024-08-19T16:11:54+07:00	BKK-SIAM	TXN-202408-19026721	6	SKU-MASS-097	1	29900.00	0.00	mobile_wallet	1
2024-08-19T16:11:54+07:00	BKK-SIAM	TXN-202408-19026721	7	SKU-MASS-110	1	4900.00	0.00	mobile_wallet	1
2024-08-19T13:46:46+07:00	BKK-SIAM	TXN-202408-19027835	1	SKU-MASS-023	1	12900.00	0.00	debit_card	1
2024-08-19T13:46:46+07:00	BKK-SIAM	TXN-202408-19027835	2	SKU-MASS-030	1	4900.00	0.00	debit_card	1
2024-08-19T13:46:46+07:00	BKK-SIAM	TXN-202408-19027835	3	SKU-MASS-077	1	18900.00	0.00	debit_card	1
2024-08-19T21:02:00+07:00	BKK-SIAM	TXN-202408-19028469	1	SKU-MASS-083	1	55900.00	0.00	credit_card	1
