timestamp	branch_code	payment_terminal_id	txn_id	line_seq	sku_id	quantity	unit_price_thb	discount_total_thb	payment_method	loyalty_tier_at_purchase	schema_version
2025-10-05T08:11:33+07:00	BKK-R9	BKK-R9-POS-02	TXN-202510-05003861	1	SKU-MASS-041	1	29900.00	0.00	credit_card	none	2
2025-10-05T11:15:13+07:00	BKK-R9	BKK-R9-POS-02	TXN-202510-05006585	1	SF-Galaxy-Pro-2568	1	38900.00	0.00	mobile_wallet	none	2
2025-10-05T19:05:14+07:00	BKK-R9	BKK-R9-POS-03	TXN-202510-05007526	1	SKU-MASS-106	1	24900.00	0.00	cash	none	2
2025-10-05T13:11:21+07:00	BKK-R9	BKK-R9-POS-01	TXN-202510-05009832	1	SKU-MASS-018	1	24900.00	0.00	mobile_wallet	none	2
2025-10-05T14:44:00+07:00	BKK-R9	BKK-R9-POS-01	TXN-202510-05012844	1	SKU-MASS-057	1	29900.00	0.00	debit_card	none	2
2025-10-05T14:44:00+07:00	BKK-R9	BKK-R9-POS-01	TXN-202510-05012844	2	SKU-STD-001	1	12900.00	0.00	debit_card	none	2
2025-10-05T15:06:06+07:00	BKK-R9	BKK-R9-POS-02	TXN-202510-05014307	1	SKU-MASS-028	1	6900.00	0.00	credit_card	none	2
2025-10-05T15:06:06+07:00	BKK-R9	BKK-R9-POS-02	TXN-202510-05014307	2	SKU-MASS-045	1	18900.00	0.00	credit_card	none	2
2025-10-05T17:49:49+07:00	BKK-R9	BKK-R9-POS-02	TXN-202510-05015295	1	SKU-MASS-066	1	24900.00	0.00	debit_card	none	2
2025-10-05T17:49:49+07:00	BKK-R9	BKK-R9-POS-02	TXN-202510-05015295	2	SKU-MASS-030	1	4900.00	0.00	debit_card	none	2
2025-10-05T17:49:49+07:00	BKK-R9	BKK-R9-POS-02	TXN-202510-05015295	3	SKU-MASS-101	1	18900.00	0.00	debit_card	none	2
2025-10-05T13:46:15+07:00	BKK-R9	BKK-R9-POS-02	TXN-202510-05016232	1	SKU-MASS-016	1	8500.00	0.00	mobile_wallet	none	2
2025-10-05T08:49:57+07:00	BKK-R9	BKK-R9-POS-02	TXN-202510-05018271	1	SKU-MASS-085	1	18900.00	0.00	mobile_wallet	none	2
2025-10-05T12:55:12+07:00	BKK-R9	BKK-R9-POS-01	TXN-202510-05020153	1	SKU-MASS-039	1	12900.00	0.00	mobile_wallet	none	2
2025-10-05T17:10:31+07:00	BKK-R9	BKK-R9-POS-01	TXN-202510-05025045	1	SKU-MASS-074	1	24900.00	0.00	credit_card	none	2
2025-10-05T17:10:31+07:00	BKK-R9	BKK-R9-POS-01	TXN-202510-05025045	2	SKU-MASS-090	1	24900.00	0.00	credit_card	none	2
2025-10-05T17:02:18+07:00	BKK-R9	BKK-R9-POS-01	TXN-202510-05025782	1	SKU-MASS-010	1	24900.00	0.00	credit_card	none	2
2025-10-05T17:02:18+07:00	BKK-R9	BKK-R9-POS-01	TXN-202510-05025782	2	SKU-MASS-095	1	12900.00	0.00	credit_card	none	2
2025-10-05T17:02:18+07:00	BKK-R9	BKK-R9-POS-01	TXN-202510-05025782	3	SKU-MASS-110	1	4900.00	0.00	credit_card	none	2
2025-10-05T17:02:18+07:00	BKK-R9	BKK-R9-POS-01	TXN-202510-05025782	4	SKU-MASS-082	1	24900.00	0.00	credit_card	none	2
2025-10-05T12:03:58+07:00	BKK-R9	BKK-R9-POS-02	TXN-202510-05028905	1	SKU-MASS-010	1	24900.00	0.00	mobile_wallet	none	2
2025-10-05T12:03:58+07:00	BKK-R9	BKK-R9-POS-02	TXN-202510-05028905	2	SKU-MASS-100	1	6900.00	0.00	mobile_wallet	none	2
2025-10-05T12:03:58+07:00	BKK-R9	BKK-R9-POS-02	TXN-202510-05028905	3	SKU-MASS-008	1	8500.00	0.00	mobile_wallet	none	2
2025-10-05T12:03:58+07:00	BKK-R9	BKK-R9-POS-02	TXN-202510-05028905	4	SKU-MASS-048	1	8500.00	0.00	mobile_wallet	none	2
2025-10-05T12:03:58+07:00	BKK-R9	BKK-R9-POS-02	TXN-202510-05028905	5	SKU-MASS-063	1	12900.00	0.00	mobile_wallet	none	2
2025-10-05T12:03:58+07:00	BKK-R9	BKK-R9-POS-02	TXN-202510-05028905	6	SKU-MASS-017	1	29900.00	0.00	mobile_wallet	none	2
